Name,Age,Gender,Address,Loan Access,CRM/ATM Access,Mobile Banking Access,Profession,Disability
Meaza Daniel,46,Female,"Kebele 18, Woreda 5, Debre Markos",Conventional Loan,Yes,Yes,Student,Yes
Rahel Geremew,38,Female,"Kebele 18, Woreda 2, Jijiga",Conventional Loan,No,Yes,Health Worker,No
Mamo Asnake,50,Male,"Kebele 16, Woreda 2, Hosaena",Michu,No,No,Merchant,No
Solomon Kebede,32,Male,"Kebele 28, Woreda 1, Adama",Conventional Loan,Yes,Yes,Health Worker,No
Wondimu Misgana,40,Male,"Kebele 5, Woreda 8, Dilla",Conventional Loan,Yes,No,Merchant,Yes
Tigist Melaku,19,Female,"Kebele 8, Woreda 2, Jijiga",Conventional Loan,No,No,Farmer,No
Selamawit Negusu,59,Female,"Kebele 7, Woreda 8, Gambela",Kiya,Yes,No,Health Worker,Yes
Daniel Desalegn,68,Male,"Kebele 24, Woreda 1, Hosaena",Michu,Yes,No,Employed,No
Yesuf Mulugeta,30,Male,"Kebele 27, Woreda 1, Debre Markos",Michu,No,No,Teacher,Yes
Hirut Zerihun,57,Female,"Kebele 25, Woreda 5, Adama",Conventional Loan,Yes,No,Employed,Yes
Hewan Asnake,48,Female,"Kebele 22, Woreda 2, Nekemte",Conventional Loan,Yes,Yes,Teacher,No
Samuel Tamirat,40,Male,"Kebele 6, Woreda 7, Debre Markos",Michu,Yes,No,Student,Yes
Demeke Tadesse,67,Male,"Kebele 7, Woreda 6, Asosa",Michu,Yes,No,Student,Yes
Redae Moges,34,Male,"Kebele 16, Woreda 9, Hosaena",Michu,Yes,No,Employed,Yes
Wolde Desta,49,Male,"Kebele 4, Woreda 1, Debre Berhan",Conventional Loan,No,Yes,Health Worker,Yes
Adel Tamrat,42,Female,"Kebele 12, Woreda 10, Adama",Conventional Loan,Yes,Yes,Employed,Yes
Selam Mesfin,30,Female,"Kebele 2, Woreda 2, Shashemene",Conventional Loan,Yes,Yes,Merchant,Yes
Hiwot Tsegaye,50,Female,"Kebele 23, Woreda 8, Asosa",Conventional Loan,Yes,Yes,Health Worker,Yes
Tamirat Eyob,45,Male,"Kebele 28, Woreda 9, Shashemene",Michu,No,Yes,Student,Yes
Gete Dawit,58,Female,"Kebele 25, Woreda 1, Gambela",Michu,No,No,Teacher,Yes
Yesuf Kassaye,26,Male,"Kebele 15, Woreda 3, Bahir Dar",Michu,Yes,Yes,Merchant,No
Tesfu Bereket,49,Male,"Kebele 19, Woreda 5, Harar",Michu,No,Yes,Teacher,Yes
Lulit Gizachew,33,Female,"Kebele 10, Woreda 7, Gambela",Kiya,No,Yes,Employed,Yes
Ayisha Ermias,54,Female,"Kebele 1, Woreda 7, Bahir Dar",Conventional Loan,Yes,No,Teacher,Yes
Gizachew Demelash,32,Male,"Kebele 4, Woreda 2, Dessie",Michu,No,Yes,Health Worker,Yes
Aster Getachew,53,Female,"Kebele 26, Woreda 4, Sodo",Michu,Yes,Yes,Farmer,Yes
Hewan Yemane,24,Female,"Kebele 22, Woreda 2, Debre Markos",Michu,Yes,Yes,Merchant,Yes
Helina Kidist,67,Female,"Kebele 11, Woreda 8, Sodo",Kiya,No,No,Health Worker,No
Ayantu Solomon,27,Female,"Kebele 24, Woreda 8, Hosaena",Michu,No,Yes,Employed,No
Assefu Daniel,48,Female,"Kebele 8, Woreda 8, Jijiga",Conventional Loan,No,No,Employed,Yes
Muluken Habtemariam,65,Male,"Kebele 27, Woreda 2, Debre Berhan",Michu,Yes,No,Merchant,No
Marta Andargachew,47,Female,"Kebele 16, Woreda 9, Adama",Michu,No,No,Health Worker,No
Eshetu Getachew,51,Male,"Kebele 26, Woreda 3, Dessie",Michu,Yes,Yes,Farmer,No
Rediet Mekuria,70,Female,"Kebele 3, Woreda 10, Hawassa",Michu,Yes,Yes,Merchant,No
Tamrat Eshetu,62,Male,"Kebele 1, Woreda 1, Adama",Michu,Yes,No,Health Worker,Yes
Kibrom Sisay,62,Male,"Kebele 7, Woreda 6, Harar",Michu,No,No,Teacher,Yes
Zewditu Sisay,25,Female,"Kebele 8, Woreda 7, Shashemene",Kiya,No,No,Merchant,Yes
Gelila Sisay,21,Female,"Kebele 2, Woreda 7, Jimma",Conventional Loan,No,No,Employed,Yes
Eshetu Amare,24,Male,"Kebele 10, Woreda 3, Debre Markos",Conventional Loan,No,No,Merchant,No
Bisrat Mengistu,44,Female,"Kebele 1, Woreda 8, Jimma",Conventional Loan,No,Yes,Teacher,Yes
Kassahun Tadesse,25,Male,"Kebele 24, Woreda 5, Nekemte",Michu,Yes,No,Teacher,No
Zinash Nebiyu,41,Female,"Kebele 20, Woreda 10, Dire Dawa",Conventional Loan,No,No,Employed,Yes
Habtemariam Negusu,56,Male,"Kebele 26, Woreda 8, Dilla",Conventional Loan,No,No,Employed,No
Solomon Merid,57,Male,"Kebele 15, Woreda 5, Shashemene",Michu,No,No,Student,Yes
Demelash Solomon,63,Male,"Kebele 18, Woreda 4, Dessie",Michu,No,No,Farmer,No
Endale Mulugeta,49,Male,"Kebele 20, Woreda 6, Jijiga",Michu,Yes,No,Employed,Yes
Hana Tilahun,19,Female,"Kebele 20, Woreda 9, Adama",Michu,No,No,Employed,Yes
Firehiwot Desalegn,27,Female,"Kebele 10, Woreda 9, Nekemte",Conventional Loan,No,No,Employed,Yes
Habtamu Nebiyu,39,Male,"Kebele 14, Woreda 5, Arba Minch",Conventional Loan,No,Yes,Employed,No
Hayat Hailu,70,Female,"Kebele 18, Woreda 1, Dilla",Conventional Loan,Yes,No,Farmer,Yes
Girma Legesse,67,Male,"Kebele 7, Woreda 5, Hawassa",Conventional Loan,No,Yes,Teacher,No
Mitiku Abiyot,29,Male,"Kebele 7, Woreda 4, Gambela",Conventional Loan,Yes,Yes,Employed,Yes
Legesse Melaku,44,Male,"Kebele 18, Woreda 2, Hawassa",Conventional Loan,Yes,No,Employed,Yes
Bisrat Solomon,43,Female,"Kebele 14, Woreda 6, Sodo",Conventional Loan,Yes,Yes,Farmer,No
Mamo Desta,69,Male,"Kebele 25, Woreda 6, Adama",Conventional Loan,Yes,No,Student,Yes
Adamu Adamu,70,Male,"Kebele 6, Woreda 8, Adama",Conventional Loan,No,No,Health Worker,No
Ermias Worku,38,Male,"Kebele 16, Woreda 1, Hosaena",Michu,Yes,Yes,Health Worker,No
Desta Biruk,61,Male,"Kebele 18, Woreda 7, Gondar",Conventional Loan,No,No,Health Worker,No
Kassahun Kassaye,32,Male,"Kebele 24, Woreda 2, Debre Berhan",Michu,No,No,Student,Yes
Nebiyu Yohannes,51,Male,"Kebele 22, Woreda 8, Mekelle",Michu,Yes,Yes,Teacher,No
Mitiku Wube,33,Male,"Kebele 23, Woreda 8, Debre Berhan",Michu,No,Yes,Teacher,No
Yohannes Abebe,27,Male,"Kebele 10, Woreda 4, Gondar",Conventional Loan,No,Yes,Merchant,No
Abraham Desalegn,50,Male,"Kebele 5, Woreda 8, Shashemene",Conventional Loan,Yes,Yes,Student,No
Mengistu Selamawit,38,Male,"Kebele 19, Woreda 3, Dessie",Michu,No,No,Teacher,Yes
Lensa Eyob,33,Female,"Kebele 8, Woreda 7, Sodo",Michu,Yes,No,Teacher,No
Getachew Hussen,69,Male,"Kebele 21, Woreda 5, Arba Minch",Conventional Loan,No,Yes,Student,No
Kassahun Dawit,60,Male,"Kebele 12, Woreda 5, Hosaena",Conventional Loan,No,No,Farmer,No
Mesfin Misgana,46,Male,"Kebele 8, Woreda 2, Asosa",Michu,Yes,Yes,Student,Yes
Birtukan Kidist,70,Female,"Kebele 20, Woreda 3, Jijiga",Conventional Loan,No,Yes,Teacher,No
Kassaye Wube,27,Male,"Kebele 19, Woreda 4, Jimma",Michu,No,No,Merchant,No
Adamu Andargachew,58,Male,"Kebele 29, Woreda 6, Arba Minch",Michu,Yes,No,Employed,Yes
Endale Misgana,51,Male,"Kebele 27, Woreda 6, Sodo",Michu,No,No,Merchant,No
Ayenalem Gebru,33,Female,"Kebele 28, Woreda 5, Hawassa",Conventional Loan,Yes,No,Teacher,Yes
Yesuf Mesfin,28,Male,"Kebele 14, Woreda 7, Dessie",Michu,Yes,No,Student,No
Habtemariam Kassaye,51,Male,"Kebele 4, Woreda 10, Jijiga",Michu,No,Yes,Employed,No
Dawit Sisay,25,Female,"Kebele 14, Woreda 4, Dilla",Kiya,No,No,Farmer,Yes
Wondimu Kebede,40,Male,"Kebele 22, Woreda 2, Harar",Michu,Yes,Yes,Teacher,Yes
Emebet Zewdu,24,Female,"Kebele 13, Woreda 7, Hawassa",Kiya,No,No,Health Worker,Yes
Mahlet Amare,62,Female,"Kebele 21, Woreda 5, Dessie",Kiya,No,No,Employed,No
Mulu Amare,44,Female,"Kebele 13, Woreda 10, Dire Dawa",Conventional Loan,Yes,No,Merchant,No
Lensa Birhanu,51,Female,"Kebele 13, Woreda 1, Nekemte",Kiya,Yes,No,Health Worker,Yes
Zebene Muluken,42,Female,"Kebele 21, Woreda 4, Debre Berhan",Conventional Loan,No,Yes,Health Worker,No
Tamrat Yesuf,64,Male,"Kebele 28, Woreda 9, Mekelle",Conventional Loan,Yes,No,Employed,Yes
Asnake Merid,20,Male,"Kebele 14, Woreda 4, Nekemte",Conventional Loan,Yes,Yes,Merchant,No
Luwam Yared,23,Female,"Kebele 23, Woreda 3, Debre Markos",Conventional Loan,Yes,No,Merchant,Yes
Zewditu Habtamu,24,Female,"Kebele 2, Woreda 2, Dessie",Michu,No,Yes,Merchant,Yes
Mekuria Dawit,45,Male,"Kebele 8, Woreda 10, Debre Berhan",Conventional Loan,No,No,Farmer,No
Amel Gebru,47,Female,"Kebele 8, Woreda 1, Harar",Michu,Yes,No,Farmer,No
Kebede Daniel,22,Male,"Kebele 22, Woreda 8, Gambela",Michu,Yes,No,Farmer,No
Hailemariam Solomon,25,Male,"Kebele 3, Woreda 6, Debre Berhan",Conventional Loan,No,No,Farmer,No
Helina Tesfu,41,Female,"Kebele 30, Woreda 1, Nekemte",Michu,No,Yes,Employed,Yes
Wubit Yonas,34,Female,"Kebele 25, Woreda 5, Dire Dawa",Michu,No,Yes,Teacher,No
Ermias Endale,70,Male,"Kebele 27, Woreda 10, Debre Markos",Conventional Loan,Yes,Yes,Farmer,Yes
Kibrom Eshetu,70,Male,"Kebele 5, Woreda 4, Adama",Michu,Yes,No,Merchant,No
Abiyot Abiyot,57,Male,"Kebele 10, Woreda 7, Arba Minch",Conventional Loan,Yes,Yes,Employed,Yes
Magi Negusu,44,Female,"Kebele 25, Woreda 10, Gambela",Conventional Loan,Yes,Yes,Health Worker,Yes
Abebech Demeke,33,Female,"Kebele 10, Woreda 1, Arba Minch",Michu,No,Yes,Student,No
Fekadu Mitiku,39,Male,"Kebele 23, Woreda 10, Dessie",Michu,Yes,No,Student,Yes
Bisrat Selamawit,38,Female,"Kebele 7, Woreda 8, Debre Berhan",Kiya,No,No,Employed,Yes
Abebech Abebe,68,Female,"Kebele 10, Woreda 3, Gondar",Conventional Loan,No,No,Employed,No
Asnake Yohannes,27,Male,"Kebele 28, Woreda 3, Hosaena",Conventional Loan,Yes,Yes,Farmer,Yes
Genet Habtemariam,58,Female,"Kebele 27, Woreda 1, Adama",Conventional Loan,Yes,No,Merchant,No
Lensa Yohannes,61,Female,"Kebele 2, Woreda 7, Asosa",Kiya,No,Yes,Employed,No
Hiwot Endale,28,Female,"Kebele 15, Woreda 2, Jimma",Michu,No,No,Teacher,No
Kassaye Zeleke,55,Male,"Kebele 2, Woreda 10, Gondar",Michu,No,No,Farmer,Yes
Aster Moges,26,Female,"Kebele 30, Woreda 8, Jijiga",Michu,No,Yes,Student,No
Tebarek Demelash,34,Female,"Kebele 15, Woreda 4, Jimma",Conventional Loan,Yes,No,Employed,No
Desalegn Demeke,22,Male,"Kebele 6, Woreda 7, Debre Berhan",Conventional Loan,Yes,No,Teacher,No
Yeshi Hailu,34,Female,"Kebele 15, Woreda 8, Debre Berhan",Michu,Yes,No,Health Worker,Yes
Lensa Yilma,30,Female,"Kebele 26, Woreda 2, Shashemene",Kiya,No,No,Employed,Yes
Geremew Birhanu,31,Male,"Kebele 17, Woreda 3, Harar",Michu,No,No,Farmer,Yes
Tadese Worku,35,Male,"Kebele 3, Woreda 9, Nekemte",Michu,Yes,Yes,Student,Yes
Bethelhem Yonas,44,Female,"Kebele 13, Woreda 4, Asosa",Conventional Loan,Yes,No,Farmer,Yes
Merid Mulugeta,50,Male,"Kebele 22, Woreda 6, Asosa",Michu,No,Yes,Teacher,No
Meron Haile,70,Female,"Kebele 4, Woreda 6, Debre Berhan",Conventional Loan,No,Yes,Employed,Yes
Wube Demeke,37,Male,"Kebele 6, Woreda 6, Bahir Dar",Conventional Loan,Yes,Yes,Teacher,Yes
Gete Demeke,61,Female,"Kebele 26, Woreda 6, Debre Berhan",Kiya,No,Yes,Health Worker,Yes
Feven Muluken,53,Female,"Kebele 27, Woreda 3, Mekelle",Conventional Loan,Yes,Yes,Student,No
Wengel Amare,19,Female,"Kebele 7, Woreda 2, Sodo",Michu,No,Yes,Merchant,No
Sossina Gizachew,39,Female,"Kebele 17, Woreda 2, Bahir Dar",Michu,No,Yes,Student,No
Gebru Mitiku,43,Male,"Kebele 21, Woreda 1, Jimma",Michu,No,No,Farmer,Yes
Wubit Hussen,27,Female,"Kebele 25, Woreda 9, Bahir Dar",Kiya,Yes,Yes,Farmer,No
Magi Demelash,24,Female,"Kebele 7, Woreda 3, Shashemene",Kiya,Yes,No,Farmer,No
Adel Nebiyu,42,Female,"Kebele 24, Woreda 3, Gambela",Kiya,Yes,Yes,Health Worker,No
Kebede Dawit,20,Male,"Kebele 7, Woreda 8, Dire Dawa",Conventional Loan,No,No,Merchant,No
Hirut Leul,52,Female,"Kebele 25, Woreda 5, Gambela",Kiya,Yes,No,Employed,No
Merid Yonas,54,Male,"Kebele 12, Woreda 6, Mekelle",Conventional Loan,Yes,Yes,Student,No
Lomi Bereket,21,Female,"Kebele 18, Woreda 9, Bahir Dar",Kiya,No,Yes,Student,No
Dinknesh Desta,30,Female,"Kebele 22, Woreda 9, Asosa",Kiya,No,No,Health Worker,Yes
Sintayehu Solomon,61,Male,"Kebele 7, Woreda 8, Gambela",Conventional Loan,No,No,Student,No
Chalachew Mamo,46,Male,"Kebele 23, Woreda 8, Dire Dawa",Michu,Yes,No,Student,No
Yared Tamirat,56,Male,"Kebele 6, Woreda 9, Dessie",Michu,No,Yes,Health Worker,Yes
Rediet Shiferaw,32,Female,"Kebele 10, Woreda 8, Hosaena",Michu,No,No,Merchant,Yes
Yeshi Redae,60,Female,"Kebele 10, Woreda 9, Harar",Conventional Loan,Yes,Yes,Farmer,Yes
Adel Nigussie,62,Female,"Kebele 2, Woreda 2, Dire Dawa",Michu,No,No,Teacher,Yes
