Name,Withdrawal Amount (ETB),Withdrawal Successful
Rediet Mengistu,8437.59,Yes
Getachew Teshome,3797.95,Yes
Tadesse Gebru,3344.37,No
Kidane Moges,7357.02,No
Zufan Eshetu,3468.91,Yes
Tinsae Getahun,6844.47,Yes
Mulugeta Melaku,4037.83,Yes
Hana Girma,4152.47,Yes
Selam Sintayehu,4683.52,Yes
Bereket Gizachew,1410.92,No
Yeshi Hailu,4240.01,Yes
Abigail Mengistu,2349.13,Yes
Lulit Mekonnen,4881.3,Yes
Tadese Samuel,8591.2,Yes
Hirut Berhanu,1439.59,No
Meseret Henok,5968.45,No
Abiyot Mitiku,1627.63,Yes
Nega Teshome,3080.91,Yes
Alemnesh Gebeyehu,6238.87,No
Atikilt Nebiyu,6950.55,Yes
Dagmawit Yared,8569.62,Yes
Mulu Desta,7655.64,Yes
Mihret Nebiyu,5084.42,No
Hana Yared,847.38,Yes
Gebru Tamirat,1085.3,Yes
Sewit Abebe,5092.04,Yes
Sifan Yemane,7634.46,Yes
Helina Tesfu,6815.68,Yes
Girma Mulugeta,6173.1,No
Mihret Demelash,135.63,No
Tilahun Legesse,2973.98,No
Nardos Samuel,7198.32,Yes
Yordanos Getahun,4742.14,Yes
Mekonnen Dawit,4845.19,No
Asnake Eyob,7584.88,Yes
Mulu Chalachew,3000.85,Yes
Marta Mitiku,1931.01,Yes
Bereket Amare,4560.89,Yes
Worku Dawit,9314.17,Yes
Zebiba Mamo,3911.83,Yes
Meseret Melaku,9136.83,Yes
Kibrom Mulugeta,1377.83,Yes
Genet Yohannes,3650.24,Yes
Legesse Abraham,5928.28,No
Worku Abraham,6056.68,Yes
Emebet Eyob,3963.0,Yes
Demeke Kassahun,8828.73,Yes
Abebe Tamrat,6899.85,No
Amel Yonas,1674.99,Yes
Redae Nebiyu,314.07,No
Mulu Desalegn,1681.14,Yes
Selamawit Abraham,8052.41,Yes
Getachew Desalegn,715.31,Yes
Tamrat Fekadu,7475.41,No
Mekdes Kebede,3710.42,Yes
Gebeyehu Gebeyehu,606.32,No
Gete Yared,4408.2,Yes
Hawi Sisay,7583.81,Yes
Sossina Nega,2989.87,Yes
Ermias Negusu,727.45,Yes
Gebru Shiferaw,5369.53,Yes
Dagmawit Zewdu,6117.17,No
Hana Habtamu,9917.24,Yes
Tsion Misgana,7765.45,Yes
Chalachew Mamo,1952.94,Yes
Tamrat Fekadu,264.71,Yes
Mekonnen Abiyot,9512.4,Yes
Amare Bereket,3474.84,Yes
Rediet Wolde,6248.69,Yes
Yohannes Abraham,4543.1,Yes
Hana Redae,235.37,Yes
Tesfaye Shiferaw,5855.68,No
Hailemariam Legesse,6648.65,No
Aster Moges,7088.5,No
Henok Tesfu,5332.43,Yes
Daniel Geremew,2323.58,No
Kebede Nigussie,5683.62,Yes
Chalachew Solomon,3756.55,Yes
Demelash Leul,3595.14,Yes
Negusu Getahun,5085.15,Yes
Tsion Asnake,2900.44,No
Samuel Getahun,629.15,No
Bethelhem Tilahun,1047.04,Yes
Abebech Shiferaw,449.83,Yes
Solomon Yohannes,759.74,Yes
Tsion Bereket,950.66,Yes
Rahel Samuel,1362.28,No
Tamirat Moges,7867.51,Yes
Abraham Abebe,4791.21,Yes
Almaz Ermias,4826.82,Yes
Samuel Gebru,707.55,Yes
Wube Tamrat,6201.96,Yes
Zeleke Tamrat,9236.29,Yes
Zebene Sisay,6502.25,No
Helina Yemane,6990.06,Yes
Mekuria Tamrat,1082.02,Yes
Yeshi Habtamu,8530.33,Yes
Nega Sintayehu,9906.99,Yes
Yohannes Demeke,5632.94,Yes
Tigist Legesse,4928.35,Yes
Tigist Kebede,8491.05,Yes
Gelila Zerihun,8956.9,Yes
Ayisha Sintayehu,3474.7,Yes
Wondimu Girma,6650.08,No
Yesuf Tesfaye,6781.3,Yes
Abigail Shiferaw,8235.01,Yes
Bethelhem Getnet,2135.05,No
Tesfaye Habtamu,5588.96,Yes
Mitiku Gebeyehu,1274.97,No
Birtukan Samuel,5952.42,Yes
Kassahun Bereket,1625.28,No
Berhanu Gizachew,6977.41,Yes
Misrak Henok,556.19,Yes
Helina Samuel,4739.59,No
Mulugeta Mekuria,5732.74,Yes
Tigist Amare,247.45,Yes
Yesuf Bekele,9263.97,Yes
Berhanu Demeke,7061.82,Yes
Birtukan Mitiku,4598.6,No
Tinsae Bekele,2377.35,Yes
Mitiku Ermias,6423.34,No
Redae Getahun,4333.94,No
Firehiwot Hailu,9575.89,Yes
Tadese Yilma,5622.47,Yes
Tilahun Tilahun,906.31,No
Wolde Tadesse,901.13,Yes
Emebet Bereket,1605.28,Yes
Tilahun Redae,6633.4,Yes
Eshetu Zeleke,5783.84,Yes
Yohannes Worku,6585.84,No
Kassaye Yilma,3609.4,Yes
Hana Wondimu,3445.81,No
Banchi Zewdu,6891.23,Yes
Hewan Yohannes,7938.39,Yes
Lensa Legesse,7260.47,No
Demeke Eyob,2200.15,No
Zewditu Tilahun,376.27,Yes
Mihret Zeleke,7203.59,No
Wengel Kassahun,1181.36,Yes
Fozia Mitiku,9869.56,Yes
Bethelhem Mekuria,7078.22,Yes
Hailemariam Negusu,1092.08,Yes
Hussen Zewdu,8237.89,Yes
Rediet Geremew,7031.89,Yes
Gennet Birhanu,6617.59,Yes
Zewdu Redae,5681.13,No
Emebet Dawit,9536.88,No
Bekele Abiyot,638.51,Yes
Shiferaw Habtamu,2890.56,Yes
Kassahun Abiyot,1115.28,Yes
Misrak Yared,8994.2,Yes
Zebiba Abraham,419.43,Yes
Endale Tsegaye,5754.94,Yes
Tadesse Desta,5985.38,Yes
Asnake Desta,7869.83,No
Mulu Ermias,6389.52,Yes
Nardos Amare,6260.89,Yes
Mitiku Mitiku,3550.14,Yes
Mesfin Yonas,2257.35,Yes
Naomi Demelash,9464.19,Yes
Almaz Mesfin,5868.12,Yes
Desta Tadesse,3157.72,Yes
Worku Bekele,6567.17,Yes
Nardos Mitiku,3797.52,Yes
Mengistu Melaku,2512.62,Yes
Habtamu Nega,6211.98,Yes
Hussen Zegeye,7502.12,Yes
Eyob Leul,3281.18,Yes
Tigist Kibrom,2148.38,No
Mamo Hussen,7464.09,Yes
Daniel Samuel,3951.22,No
Teshome Nega,6246.88,No
Berhanu Tesfaye,3400.8,Yes
Haimanot Girma,8442.11,Yes
Tesfu Melaku,4026.32,No
Gennet Kassaye,321.47,Yes
Biruk Yohannes,3995.69,Yes
Geremew Yemane,8026.4,No
Hana Habtamu,1939.22,Yes
Samuel Eshetu,3551.39,Yes
Mekuria Mekuria,6348.33,Yes
Mekdes Binyam,4414.78,Yes
Ermias Legesse,5992.11,Yes
Abiyot Shiferaw,1356.28,No
Endale Moges,7895.98,No
Muluken Sintayehu,1324.44,Yes
Nigussie Getnet,9958.97,Yes
Hiwot Tadese,8947.23,No
Haimanot Kidane,295.83,Yes
Kassaye Eyob,3694.1,Yes
Adanech Abebe,967.81,Yes
Gizachew Ermias,1317.91,Yes
Adanech Yonas,2709.06,Yes
Mahlet Daniel,8487.43,No
Hailu Adamu,6889.62,Yes
Tigist Girma,5742.89,Yes
Sara Solomon,2763.69,No
Yeshi Zewdu,2780.1,Yes
Magi Adamu,3804.1,Yes
Wolde Desta,3161.21,Yes
Getachew Andargachew,9929.2,Yes
Yohannes Endale,2466.16,Yes
Eyerusalem Mengistu,2493.95,Yes
Misrak Tamirat,3691.58,No
Hana Selamawit,4971.93,Yes
Misgana Yohannes,4934.35,Yes
Yordanos Desta,3420.31,No
Demelash Getnet,2718.38,Yes
Kidist Dagnachew,3792.39,No
Hayat Biruk,2838.49,Yes
Kassahun Mitiku,986.62,Yes
Adanech Tsegaye,1628.34,Yes
Wolde Sisay,2178.37,Yes
Hana Dawit,7688.63,Yes
Hirut Mamo,6473.24,Yes
Misgana Abiyot,9911.12,Yes
Zebene Samuel,298.46,No
Melaku Fekadu,2713.12,Yes
Kebede Getachew,189.86,Yes
Habtemariam Andargachew,7764.17,Yes
Melaku Selamawit,3950.06,Yes
Yonas Abraham,5641.06,Yes
Marta Eyob,3604.25,Yes
Firehiwot Tesfaye,7108.27,Yes
Yemane Berhanu,2117.35,No
Dawit Samuel,1931.18,Yes
Hiwot Muluken,6098.24,Yes
Bekele Hailemariam,5055.12,No
Wubit Dawit,497.44,Yes
Zewditu Dagnachew,2531.47,Yes
Mekuria Moges,3335.4,Yes
Dawit Redae,9802.56,Yes
Alem Getahun,7290.96,Yes
Hayat Hailu,9683.95,Yes
Chalachew Nega,7829.73,Yes
Muluken Amare,7321.07,Yes
Zebiba Wondimu,680.36,Yes
Dinknesh Leul,6968.74,Yes
Genet Fekadu,5269.45,Yes
Mengistu Daniel,8693.55,No
Desalegn Tadesse,2371.78,No
Lulit Mekuria,164.52,No
Amel Haile,4001.18,No
Moges Habtemariam,7888.91,Yes
Worku Nega,6683.96,Yes
Worku Ermias,3864.27,Yes
Melaku Dagnachew,8403.0,Yes
Misrak Habtamu,3668.57,Yes
Worku Hailemariam,1212.55,No
Mitiku Getachew,5900.13,Yes
Berhanu Demelash,577.87,No
Zewditu Amare,884.65,Yes
Firehiwot Andargachew,2940.75,Yes
Banchi Kibrom,9708.68,Yes
Yohannes Asnake,613.68,Yes
Yewbdar Bekele,2752.67,Yes
Yordanos Dawit,6970.47,Yes
Wengel Amare,1664.38,No
Lensa Mekuria,8085.83,Yes
Nigussie Yesuf,8624.29,Yes
Sintayehu Solomon,1848.9,Yes
Ayantu Yonas,4818.83,No
Wubit Ermias,9601.29,Yes
Yilma Tesfu,7493.34,No
Misrak Hussen,4947.41,Yes
Selam Fekadu,4010.78,No
Bisrat Yohannes,412.58,Yes
Yohannes Abiyot,8601.59,Yes
Feven Mamo,8062.29,Yes
Gete Legesse,750.49,Yes
Eshetu Ermias,821.67,Yes
Samuel Demelash,5232.01,Yes
Samuel Eshetu,3261.37,No
Hawi Tsegaye,390.04,Yes
Mihret Geremew,3185.27,Yes
Tamirat Kassaye,3897.96,Yes
Luwam Misgana,3936.56,No
Tinsae Bekele,9010.38,Yes
Haimanot Gebeyehu,1376.91,Yes
Hailemariam Legesse,5200.23,Yes
Birtukan Legesse,9148.18,Yes
Sewit Demeke,8310.32,Yes
Selam Henok,3279.75,Yes
Kassahun Kidist,8321.89,Yes
Mamo Kidane,3114.08,Yes
Kassaye Gizachew,6125.06,Yes
Geremew Teshome,7155.06,Yes
Mekdes Binyam,6701.55,Yes
Meaza Bereket,3752.66,No
Tsion Henok,9610.44,No
Kassahun Tadesse,9457.52,Yes
Helina Kebede,4522.66,Yes
Sara Solomon,8866.46,Yes
Hirut Sisay,4747.9,Yes
Abraham Tamirat,6537.52,Yes
Banchi Zeleke,1795.39,Yes
Eden Wube,5283.47,Yes
Feven Mamo,9348.61,Yes
Meaza Gebeyehu,8057.63,No
Yonas Tadese,8878.79,Yes
Adamu Sisay,6937.44,Yes
Asnake Kidist,2900.91,No
Henok Sisay,2178.05,Yes
Teshome Melaku,1872.24,No
Tamrat Worku,1130.5,Yes
Mihret Nega,9995.38,Yes
Selam Gebru,9697.79,Yes
Mekonnen Abebe,9443.76,No
Mulugeta Desta,7459.33,Yes
Banchi Tamrat,390.06,No
Hiwot Getahun,2271.05,No
Mekdes Nega,7943.17,Yes
Mulugeta Mulugeta,9870.9,No
Aster Tesfaye,4081.57,No
Merid Wolde,6624.4,Yes
Magi Negusu,1136.78,Yes
Zewditu Gizachew,1049.78,Yes
Mengistu Yilma,5252.61,Yes
Atikilt Merid,7139.29,Yes
Zewditu Zerihun,9464.25,Yes
Hewan Kassahun,641.26,Yes
Helina Getnet,3372.95,No
Zebiba Hussen,5234.84,Yes
Demelash Solomon,5718.45,Yes
Getahun Samuel,6604.52,Yes
Bethelhem Yesuf,2391.17,No
Tebarek Nebiyu,2859.84,Yes
Mesfin Tamrat,3987.53,Yes
Moges Selamawit,901.15,Yes
Abebech Tamrat,3329.75,Yes
Nega Worku,9731.88,Yes
Sossina Samuel,2230.67,Yes
Teshome Mekonnen,2452.44,Yes
Haimanot Daniel,9464.75,Yes
Yesuf Yesuf,3392.04,Yes
Teshome Desta,3474.05,Yes
Mesfin Misgana,7530.85,Yes
Getachew Endale,4964.47,Yes
Worku Fekadu,2668.94,Yes
Legesse Zegeye,4014.43,Yes
Hana Moges,6499.22,Yes
Teshome Andargachew,3532.44,Yes
Tilahun Yohannes,3313.02,No
Yordanos Desalegn,8381.0,Yes
Sisay Wondimu,3821.26,Yes
Moges Berhanu,5011.42,Yes
Hawi Bereket,4911.9,No
Tebarek Nebiyu,7702.55,Yes
Adel Girma,7303.76,Yes
Mulugeta Henok,2952.14,Yes
Wube Yared,5734.35,Yes
Habtemariam Birhanu,5351.0,Yes
Endale Dagnachew,7609.69,Yes
Adanech Biruk,2268.96,Yes
Firehiwot Mekonnen,4091.03,No
Mekonnen Selamawit,437.67,Yes
Girma Moges,6065.24,Yes
Rahel Redae,3360.3,No
Kassaye Yilma,380.27,Yes
Kidist Wolde,6225.81,Yes
Sisay Zegeye,928.36,Yes
Birhanu Bekele,7873.29,No
Kidane Samuel,3571.58,Yes
Mitiku Mitiku,518.52,Yes
Berhanu Chalachew,4773.6,Yes
Daniel Daniel,9095.77,Yes
Fekadu Tadesse,6651.91,Yes
Tigist Sisay,7653.67,Yes
Senait Andargachew,6393.6,Yes
Hewan Redae,4899.28,No
Melaku Legesse,561.63,No
Yonas Ermias,9572.57,No
Girma Yilma,6129.5,No
Mitiku Samuel,5831.84,Yes
Gete Ermias,3556.28,Yes
Nebiyu Mesfin,2398.28,Yes
Kibrom Andargachew,4606.44,Yes
Zinash Yohannes,1277.38,Yes
Geremew Abiyot,1097.68,Yes
Bekele Desalegn,7897.24,No
Kibrom Dawit,1025.19,No
Legesse Chalachew,8451.85,No
Wube Samuel,4439.08,Yes
Yeshi Abebe,1869.15,Yes
Merid Tsegaye,2474.31,Yes
Adamu Desalegn,9556.75,Yes
Birtukan Sintayehu,9541.72,No
Demelash Chalachew,874.84,Yes
Genet Negusu,6221.08,Yes
Adanech Zewdu,469.89,Yes
Leul Eshetu,8138.36,Yes
Bereket Desalegn,8604.43,Yes
Mekuria Nebiyu,6744.38,Yes
Hirut Misgana,4595.67,Yes
Gebru Binyam,8645.76,Yes
Fekadu Adamu,4063.77,No
Bethelhem Mitiku,4589.29,Yes
Firehiwot Endale,986.48,Yes
Endale Tsegaye,1166.91,Yes
Endale Samuel,5554.28,Yes
Getachew Andargachew,2503.3,Yes
Marta Kidist,9316.07,Yes
Sintayehu Shiferaw,8915.28,Yes
Yonas Mengistu,9370.44,Yes
Birtukan Yonas,5892.88,No
Haimanot Getahun,622.86,Yes
Feven Yohannes,2615.22,Yes
Bisrat Mekuria,310.68,Yes
Tsion Muluken,5539.06,Yes
Wolde Habtamu,3331.01,Yes
Mekonnen Tesfaye,281.81,Yes
Adel Bekele,3041.78,Yes
Yonas Wube,2568.2,Yes
Tadesse Kibrom,5012.18,Yes
Tilahun Kassaye,5299.61,No
Sisay Getnet,3034.5,Yes
Kassaye Abiyot,9838.03,Yes
Alemnesh Demeke,7842.31,Yes
Sintayehu Eyob,6004.67,Yes
Zebiba Dawit,5482.07,Yes
Yesuf Moges,8029.18,Yes
Yonas Solomon,2607.78,Yes
Hirut Mulugeta,3781.43,Yes
Yohannes Yonas,8704.07,Yes
Meaza Habtamu,2653.82,Yes
Eyob Legesse,2765.43,Yes
Bethelhem Mamo,9064.66,Yes
Fekadu Gizachew,2988.55,Yes
Ayisha Kidist,8851.13,No
Hawi Habtemariam,7678.09,Yes
Hirut Kebede,6756.52,Yes
Adel Gebru,3375.1,Yes
Misgana Merid,4343.97,Yes
Hawi Merid,8519.74,Yes
Dawit Tamrat,5091.56,Yes
Yemane Adamu,137.87,Yes
Abraham Leul,6601.65,Yes
Ayisha Yilma,1340.94,Yes
Demelash Tesfaye,6114.93,Yes
Bethelhem Getahun,1704.98,Yes
Adanech Kassahun,9256.62,Yes
Tsegaye Misgana,5037.07,Yes
Bekele Kibrom,5836.8,Yes
Mekuria Demelash,7603.14,Yes
Bekele Zerihun,2942.01,Yes
Bisrat Getnet,5995.36,Yes
Zewdu Kassahun,4892.22,No
Hewan Tilahun,6405.41,No
Zebene Samuel,9189.16,Yes
Hussen Andargachew,6666.93,Yes
Habtamu Wube,5224.66,Yes
Assefu Adamu,1599.97,No
Ayenalem Kassaye,9052.4,No
Zebiba Hussen,1585.76,Yes
Kidist Eshetu,386.99,Yes
Sisay Demelash,6174.62,Yes
Dawit Demelash,3391.19,Yes
Eyob Chalachew,9810.04,Yes
Gebeyehu Endale,573.91,Yes
Henok Tadesse,3083.84,Yes
Senait Shiferaw,7579.75,Yes
Sara Fekadu,7009.49,Yes
Getnet Samuel,6919.81,Yes
Helina Tilahun,4776.35,Yes
Worku Daniel,7257.14,No
Zewdu Getahun,9339.57,Yes
Adanech Yilma,4180.15,Yes
Hayat Mengistu,2477.94,Yes
Yordanos Girma,8784.54,Yes
Abiyot Fekadu,5049.53,No
Amel Gebru,5986.09,Yes
Henok Gebru,736.58,Yes
Mihret Tariku,6132.69,Yes
Hailu Gebeyehu,3578.01,Yes
Negusu Mengistu,3008.08,Yes
Negusu Daniel,974.18,Yes
Birtukan Legesse,9444.44,No
Selamawit Nigussie,1096.1,Yes
Meseret Daniel,8648.7,No
Kebede Eshetu,9879.27,Yes
Rediet Ermias,1875.49,No
Gennet Melaku,3166.35,Yes
Misrak Legesse,5586.41,Yes
Wubit Yonas,5805.58,Yes
Tena Legesse,6170.03,Yes
Gebru Gizachew,4748.02,Yes
Birtukan Desta,7366.37,Yes
Lomi Tesfu,3960.09,Yes
Tsion Fekadu,5401.39,No
Zewdu Kassaye,8980.88,Yes
Tamrat Haile,557.0,Yes
Daniel Tsegaye,4805.29,No
Gelila Merid,7913.25,No
Alem Desalegn,4358.58,No
Selamawit Kassahun,5245.69,Yes
Redae Getahun,7171.31,Yes
Binyam Dagnachew,3395.36,Yes
Magi Tadesse,1360.13,No
Tariku Tesfaye,2264.01,Yes
Mengistu Abraham,8812.64,Yes
Hana Yonas,243.99,Yes
Kebede Shiferaw,1028.58,Yes
Melaku Tesfaye,1992.37,Yes
Kassahun Mekuria,7084.89,Yes
Yesuf Kassahun,716.51,Yes
Kassaye Zeleke,493.93,Yes
Tamirat Wondimu,6571.46,No
Mekonnen Hussen,158.69,Yes
Firehiwot Kebede,2152.0,Yes
Abraham Samuel,2077.48,Yes
Mamo Ermias,5394.02,Yes
Haimanot Gebeyehu,6988.54,Yes
Misgana Samuel,5304.31,Yes
Zeleke Demelash,6465.88,Yes
Assefu Chalachew,8493.04,No
Adel Gebru,9348.72,No
Hawi Kidist,141.21,Yes
Hailu Endale,3305.95,No
Firehiwot Hussen,7868.19,No
Yordanos Tadese,4297.37,Yes
Hailu Melaku,355.59,Yes
Rahel Berhanu,5776.65,Yes
Muluken Gizachew,1565.9,Yes
Firehiwot Teshome,9820.49,Yes
Yemane Getachew,7981.19,Yes
Getnet Melaku,8292.3,Yes
Negusu Birhanu,2000.52,Yes
Yemane Mekonnen,2034.78,Yes
Mamo Mamo,2737.55,Yes
Ruth Abebe,9207.31,Yes
Yilma Yonas,6791.28,No
Hana Yared,4927.21,Yes
Tamrat Muluken,2535.1,Yes
Sintayehu Wondimu,3696.59,No
Meaza Gebeyehu,3065.83,No
Fozia Asnake,1903.66,No
Leul Berhanu,5529.38,Yes
Nardos Demelash,2181.52,Yes
Mesfin Moges,4676.3,No
Yonas Andargachew,2972.53,Yes
Dagmawit Fekadu,471.65,Yes
Redae Kibrom,8473.05,No
Mihret Sisay,4438.02,Yes
Kibrom Zerihun,8572.65,Yes
Hiwot Fekadu,4200.42,Yes
Rediet Hailemariam,1189.82,Yes
Mengistu Zewdu,7534.2,Yes
Gennet Shiferaw,8660.0,No
Tadesse Hailu,5108.49,Yes
Ayisha Worku,8350.78,Yes
Gete Mulugeta,3805.91,Yes
Bethelhem Kebede,1894.06,Yes
Getahun Hailemariam,487.47,No
Eshetu Melaku,976.68,No
Nega Yonas,6645.19,Yes
Meaza Getnet,3898.59,Yes
Fekadu Gizachew,8567.73,Yes
Selam Gebru,7894.25,Yes
Samuel Yohannes,7309.81,Yes
Helina Biruk,6305.46,Yes
Zeleke Henok,4145.51,Yes
Assefu Daniel,956.13,No
Tena Kidane,391.51,Yes
Hiwot Sintayehu,6979.5,Yes
Almaz Mesfin,6462.15,Yes
Samuel Desta,7126.6,No
Hailemariam Solomon,1701.79,Yes
Henok Sintayehu,9914.68,Yes
Yonas Girma,5707.17,Yes
Tinsae Samuel,3151.12,Yes
Desalegn Endale,9261.25,Yes
Kebede Yohannes,6234.85,Yes
Samuel Dagnachew,199.64,Yes
Muluken Getnet,3166.45,Yes
Merid Getnet,5273.62,Yes
Selam Kassahun,2874.92,Yes
Tadesse Melaku,8918.61,Yes
Mitiku Tesfaye,7359.98,No
Tinsae Mulugeta,4238.33,No
Aster Yohannes,8102.89,No
Wondimu Wolde,4352.03,Yes
Fozia Kassaye,3344.21,Yes
Sintayehu Kidist,4709.87,Yes
Zemzem Adamu,7088.31,Yes
Atikilt Yesuf,8368.71,Yes
Abebech Tesfu,3336.3,Yes
Firehiwot Merid,1804.65,Yes
Nebiyu Amare,4694.3,Yes
Zewditu Henok,5082.51,No
Zewditu Mitiku,3676.69,Yes
Dinknesh Habtemariam,5495.17,No
Haile Misgana,5927.3,No
Tigist Mitiku,7373.28,No
Mahlet Worku,4323.56,Yes
Kibrom Biruk,5398.0,Yes
Zegeye Shiferaw,6065.91,Yes
Aster Desalegn,6553.36,Yes
Hirut Getnet,4799.8,Yes
Henok Yonas,4727.56,Yes
Kassahun Moges,7070.29,Yes
Tigist Sintayehu,451.74,No
Desalegn Geremew,6376.66,Yes
Luwam Wolde,4805.6,No
Hewan Henok,7205.48,No
Rahel Mengistu,8171.05,Yes
Kidane Selamawit,8382.91,Yes
Tigist Melaku,3049.18,Yes
Sisay Samuel,5441.76,Yes
Eyob Sintayehu,2949.02,Yes
Sisay Hailemariam,9442.89,No
Worku Yemane,1525.08,Yes
Zeleke Nigussie,556.38,Yes
Rahel Amare,2372.05,No
Worku Abraham,139.08,Yes
Muluken Gebru,7566.73,Yes
Ayantu Daniel,979.43,No
Sintayehu Tesfu,4548.78,No
Mamo Tamrat,6509.41,Yes
Nardos Girma,2660.64,Yes
Tilahun Yesuf,2309.01,Yes
Wubit Yonas,5235.35,No
Tamirat Tadese,2256.74,No
Kidist Tadesse,3150.68,Yes
Biruk Tadese,3358.98,No
Tsion Mamo,7201.83,Yes
Dagmawit Getahun,4231.78,Yes
Biruk Dawit,2061.06,Yes
Shiferaw Tariku,901.75,No
Adamu Tadesse,9700.84,Yes
Redae Wube,2041.79,Yes
Tigist Kebede,7368.54,Yes
Tsegaye Berhanu,1205.9,Yes
Kibrom Merid,1915.1,No
Teshome Asnake,9404.84,No
